Title,Journal,Reference
Attending to Customer Attention: A Novel Deep Learning Method for Leveraging Multimodal Online Reviews to Enhance Sales Prediction,INFORMATION SYSTEMS RESEARCH,"Chen, G., Huang, L., Xiao, S., Zhang, C., & Zhao, H. (2024). Attending to customer attention: A novel deep learning method for leveraging multimodal online reviews to enhance sales prediction. Information Systems Research, 35(2), 829-849."
ENHANCING SOCIAL MEDIA ANALYSIS WITH VISUAL DATA ANALYTICS: A DEEP LEARNING APPROACH,MISQ,"Shin, D., He, S., Lee, G. M., Whinston, A. B., Cetintas, S., & Lee, K. C. (2020). Enhancing social media analysis with visual data analytics: A deep learning approach (pp. 1459-1492). Amsterdam, The Netherlands: SSRN."
Words Meet Photos: When and Why Photos Increase Review Helpfulness,journal of marketing research,"Ceylan, G., Diehl, K., & Proserpio, D. (2024). Words meet photos: When and why photos increase review helpfulness. Journal of Marketing Research, 61(1), 5-26."
"DISTINCTIVE FROM WHAT? AND FOR WHOM?""DEEP LEARNING-BASED PRODUCT DISTINCTIVENESS, SOCIAL STRUCTURE, AND THIRD-PARTY CERTIFICATIONS",Academy of Management Journal,"Banerjee, M., Cole, B. M., & Ingram, P. (2023). “Distinctive from What? And for Whom?” Deep Learning-Based Product Distinctiveness, Social Structure, and Third-Party Certifications. Academy of Management Journal, 66(4), 1016-1041."
Relations in Aesthetic Space: How Color Enables Market Positioning,Administrative Science Quarterly,"Sgourev, S. V., Aadland, E., & Formilan, G. (2023). Relations in aesthetic space: How color enables market positioning. Administrative Science Quarterly, 68(1), 146-185."
A Deep Learning and Image Processing Pipeline for Object Characterization in Firm Operations,INFORMS Journal on Computing,"Aghasi, A., Rai, A., & Xia, Y. (2024). A deep learning and image processing pipeline for object characterization in firm operations. INFORMS Journal on Computing, 36(2), 616-634."
Consumers as Naive Physicists: How Visual Entropy Cues Shift Temporal Focus and Influence Product Evaluations,Journal of Consumer Research,"Biliciler, G., Raghunathan, R., & Ward, A. F. (2022). Consumers as naive physicists: how visual entropy cues shift temporal focus and influence product evaluations. Journal of Consumer Research, 48(6), 1010-1031."
Moving Emergency Response Forward: Leveraging Machine-Learning Classification of DisasterRelated Images Posted on Social Media,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,"Johnson, M., Murthy, D., Robertson, B. W., Smith, W. R., & Stephens, K. K. (2023). Moving emergency response forward: Leveraging machine-learning classification of disaster-related images posted on social media. Journal of Management Information Systems, 40(1), 163-182."
Can Consumer-Posted Photos Serve as a Leading Indicator of Restaurant Survival? Evidence from Yelp,Management Science,"Zhang, M., & Luo, L. (2023). Can consumer-posted photos serve as a leading indicator of restaurant survival? Evidence from Yelp. Management Science, 69(1), 25-50."
Understanding Lateral and Vertical Biases in Consumer Attention: An In-Store Ambulatory Eye-Tracking Study,Journal of Marketing Research,"Chen, M., Burke, R. R., Hui, S. K., & Leykin, A. (2021). Understanding lateral and vertical biases in consumer attention: An in-store ambulatory eye-tracking study. Journal of Marketing Research, 58(6), 1120-1141."
What Makes a Good Image? Airbnb Demand Analytics Leveraging Interpretable Image Features,Management Science,"Zhang, S., Lee, D., Singh, P. V., & Srinivasan, K. (2022). What makes a good image? Airbnb demand analytics leveraging interpretable image features. Management Science, 68(8), 5644-5666."
Relative Effectiveness of Print and Digital Advertising: A Memory Perspective,Journal of Marketing Research,"Venkatraman, V., Dimoka, A., Vo, K., & Pavlou, P. A. (2021). Relative effectiveness of print and digital advertising: a memory perspective. Journal of Marketing Research, 58(5), 827-844."
"Cracking Sex Trafficking: Data Analysis, Pattern Recognition, and Path Prediction",Production and Operations Management,"Keskin, B. B., Bott, G. J., & Freeman, N. K. (2021). Cracking sex trafficking: Data analysis, pattern recognition, and path prediction. Production and Operations Management, 30(4), 1110-1135."
"Face Value: Trait Impressions, Performance Characteristics, and Market Outcomes for Financial Analysts",Journal of Accounting Research,"Peng, L., Teoh, S. H., Wang, Y., & Yan, J. (2022). Face value: Trait impressions, performance characteristics, and market outcomes for financial analysts. Journal of Accounting Research, 60(2), 653-705."
Show it or say it: how brand familiarity influences the effectiveness of image-based versus text-based logos,Journal of the Academy of Marketing Science,"Morgan, C., Fajardo, T. M., & Townsend, C. (2021). Show it or say it: how brand familiarity influences the effectiveness of image-based versus text-based logos. Journal of the Academy of Marketing Science, 49, 566-583."
Visual Elicitation of Brand Perception,Journal of Marketing,"Dzyabura, D., & Peres, R. (2021). Visual elicitation of brand perception. Journal of Marketing, 85(4), 44-66."
"""Giant Toxic Lakes You Can See from Space"" A Theory of Multimodal Messages and Emotion in Legitimacy Work",Organization Studies,"Lefsrud, L., Graves, H., & Phillips, N. (2020). “Giant toxic lakes you can see from space”: A theory of multimodal messages and emotion in legitimacy work. Organization Studies, 41(8), 1055-1078."
